English,Transliteration,Hebrew
of / belongs to,shel,של
you (f.s.),at,את
the (direct object),et,את
on / about / top,al,על
no,lo,לא
he,hu,הוא
with,im,עם
people / nation,am,עם
because,ki,כי
was (m.s.),haya,היה
this / that,ze,זה
also / too,gam,גם
in,be,ב
all,kol,כל
the,ha,ה
between / among,bein,בין
within,bin,בין
or,o,או
to / God,el,אל
don't,al,אל
but / hardly,akh,אך
more,yoter,יותר
she,hi,היא
after,le'akhar,לאחר
to be late,le'akher,לאחר
to/for the other,la'akher,לאחר
but,aval,אבל
mourning,evel,אבל
mourner,avel,אבל
to,le,ל
to the,la,ל
were (m.),hayu,היו
until / eternity,ad,עד
witness,ed,עד
this (f.),zo,זו
they (m.),hem,הם
that / which,asher,אשר
she was,haita,הייתה
in the year [X] / in the year of,bishnat,בשנת
so / like this / thus,kakh,כך
only,rak,רק
also / even / nose,af,אף
most / very much,beyoter,ביותר
I / me,ani,אני
more,od,עוד
musical instrument,ud,עוד
many,rabim,רבים
fighting (m.pl.),ravim,רבים
like / as,kmo,כמו
home / house,bayit,בית
if,im,אם
mother,em,אם
this (f.),zot,זאת
there,sham,שם
name,shem,שם
there is / one must,yesh,יש
what,ma,מה
to me / for me,li,לי
yes / sincere,ken,כן
stand (n.),kan,כן
like / as / approximately,ke,כ
to him,lo,לו
if (wishing),lu,לו
number,mispar,מספר
tell (m.s.) / narrator,mesaper,מספר
in him / in it,bo,בו
the city,ha'ir,העיר
made a comment / woke someone up (m.s.),he'ir,העיר
from,me,מ
in order to,kedei,כדי
him / it,oto,אותו
thing / matter / something / word / speech / saying / command / to speak / to say,davar,דבר
plague,dever,דבר
speak (m.s. imperative),daber,דבר
and,ve,ו
and,u,ו
in all / at all,bekhol,בכל
these,elu,אלו
second,sheni,שני
two,shnei,שני
scarlet,shani,שני
these,ele,אלה
goddess,ela,אלה
bat,ala,אלה
when / while,ka'asher,כאשר
there is no,ein,אין
nothing / naught / where,ain,אין
said (m.s.),amar,אמר
in a way,beofen,באופן
the pact / the alliance / the covenant / the circumcision,habrit,הברית
from,min,מן
that [is] not,shelo,שלא
my hands,yadai,ידי
my hand,yadi,ידי
the hands of,yedei,ידי
before / in front of / ago,lifnei,לפני
they (f.),hen,הן
the world,ha'olam,העולם
my mouth / multiplied by,pi,פי
during,bemahalakh,במהלך
his / belongs to him,shelo,שלו
calm,shalev,שלו
in her / in it,ba,בה
very,me'od,מאד
possible,nitan,ניתן
we will give,niten,ניתן
then,az,אז
owner / husband,ba'al,בעל
other (m.pl.) / others (m.),akherim,אחרים
way / road,derekh,דרך
stepped on (m.s.),darakh,דרך
and not,velo,ולא
if not,valo,ולא
part,khelek,חלק
smooth / shared (m.s.),khalak,חלק
her / it,ota,אותה
son,ben,בן
my son,bni,בני
my sons,banai,בני
but / hall,ulam,אולם
other,akher,אחר
after,akhar,אחר
how many / how much / some / yearned (m.s.),kama,כמה
yearn (m.s.),kameha,כמה
the century / the hundred,hame'a,המאה
started (m.s.),hekhel,החל
starting from,hakhel,החל
against,neged,נגד
the people of,anshei,אנשי
them (m.),otam,אותם
rule / all,klal,כלל
included (m.s.),kalal,כלל
a portion of,menat,מנת
today / nowadays,kayom,כיום
different / various (m.pl.),shonim,שונים
the war,hamilkhama,המלחמה
years,shanim,שנים
two,shnayim,שנים
already,kvar,כבר
Rabbi // fought (m.s.) / many / much,rav,רב
most / majority,rov,רב
because of,beshel,בשל
ripe,bashel,בשל
cooked (m.s.),bishel,בשל
in them (m.),bahem,בהם
big / large (m.s.),gadol,גדול
to them (m.),lahem,להם
mainly / principally / especially,be'ikar,בעיקר
but / only,ela,אלא
today,hayom,היום
instead of / in place,bimkom,במקום
in place / in the place,bamakom,במקום
in a place,bemakom,במקום
that was (m.s.),shehaya,שהיה
and also,vekhen,וכן
the many / the rabbi,harav,הרב
the majority,harov,הרב
that in him / that in it,shebo,שבו
time,zman,זמן
can (m.s.),yakhol,יכול
